"County, State",Latitude,Longitude,Population,Median Age,Physicians #,Median Income,Pop/sq mile,Water per capita,Days of Growth,Days before March 16,Days if no SIP After March 16,Growth Rate Before March 16,Growth rate after March 16 no SIP,Total Growth Rate
"Jefferson, AL",33.553444,-86.896536,665027,37.1,4071,43312,592.5,123.26,18,3,15,2.040827551,1.205924205,1.316439976
"Montgomery, AL",32.203651,-86.203831,224119,34.9,718,41084,292.5,314.64,18,3,15,1.25992105,1.20048143,1.210189631
"Shelby, AL",33.262937,-86.678104,192503,36.9,511,65408,248.5,4859.45,16,1,15,1.5,1.252633709,1.26682257
"Tuscaloosa, AL",33.290202,-87.52286,184035,31.2,544,41842,147.3,213.25,18,3,15,1.44224957,1.16328229,1.205714082
"Maricopa, AZ",33.346541,-112.495534,4023132,34.6,10543,53284,414.9,541.05,65,50,15,1.042465761,1.358331482,1.108121371
"Pima, AZ",32.128237,-111.783018,1020200,37.7,3920,43243,106.7,331.71,22,7,15,1.219013654,1.298831338,1.272883622
"Pinal, AZ",32.91891,-111.367257,340962,35.3,208,49088,70,5616.16,25,10,15,1.174618943,1.185261009,1.180992661
"Jefferson, AR",34.277696,-91.930701,78705,37.4,181,34389,88.9,4275.52,20,5,15,1.379729661,1.148698355,1.202549604
"Pulaski, AR",34.773988,-92.316515,381904,36,2872,42107,503.8,229.19,19,4,15,1.189207115,1.168214202,1.172602745
"District of Columbia, DC",38.904149,-77.017094,599657,33.8,5369,58906,9856.6,16.67,24,9,15,1.409801848,1.230681015,1.295016246
"Clay, FL",29.987116,-81.858147,186756,38,384,57858,315.8,132.94,19,4,15,1.316074013,1.190449125,1.215859412
"Collier, FL",26.118713,-81.400884,318537,46.9,1317,53934,160.9,608.04,21,6,15,1.122462048,1.237124593,1.203218115
"Duval, FL",30.335245,-81.648113,857040,35.8,3225,47002,1133.9,896.05,19,4,15,1.495348781,1.281740251,1.324015825
"Lee, FL",26.552134,-81.89225,586908,45.6,1609,45624,788.7,1290.63,25,10,15,1.174618943,1.281326518,1.237527017
"Manatee, FL",27.481386,-82.365784,318361,45.7,837,45565,434.5,464.58,30,15,15,1.113263577,1.170452313,1.141499859
"Palm Beach, FL",26.645763,-80.448673,1279950,43.5,4877,49660,670.2,1210.62,19,4,15,1.3677824,1.337838133,1.344087223
"Pasco, FL",28.302024,-82.455707,471709,43.6,732,40289,622.2,5328.63,21,6,15,1.122462048,1.2210553,1.192033803
"St. Johns, FL",29.890593,-81.383914,187436,42.2,667,62180,316.4,222.02,20,5,15,1.148698355,1.277732102,1.244174668
"Sarasota, FL",27.184386,-82.365835,369765,52.5,1681,45953,682.6,111.48,19,4,15,1.10668192,1.240450645,1.211006586
"Seminole, FL",28.690079,-81.13198,413204,38.2,905,56201,1367,167.17,19,4,15,1.414213562,1.241800458,1.276258952
"Volusia, FL",29.057617,-81.161813,495890,45.3,1134,41390,449.2,346.14,24,9,15,1.241365817,1.176339815,1.200315505
"Bartow, GA",34.240918,-84.838188,96217,36.2,101,46981,217.9,1207.89,20,5,15,1.24573094,1.199035028,1.210542289
"Cherokee, GA",34.244317,-84.475057,215084,36.3,203,66972,508.3,159.27,23,8,15,1.189207115,1.218996075,1.208551002
"Clayton, GA",33.552242,-84.412977,275772,31.6,261,42975,1832.5,58.29,16,1,15,2.5,1.230315611,1.286061543
"Cobb, GA",33.93994,-84.574166,714692,35.4,1687,62893,2026.4,624.66,24,9,15,1.409801848,1.186762863,1.265935987
"DeKalb, GA",33.770661,-84.226343,747274,34.3,3980,50092,2585.7,131.04,22,7,15,1.258498951,1.269853148,1.266229381
"Fayette, GA",33.412717,-84.493941,106788,42.4,327,77491,548.3,141.87,22,7,15,1.258498951,1.162745718,1.192394753
"Floyd, GA",34.263677,-85.21373,96250,37.6,381,39682,188.9,6251.38,22,7,15,1.219013654,1.183388472,1.194609349
"Fulton, GA",33.790034,-84.468182,1033756,34.2,4980,56313,1748,165.95,29,14,15,1.204309539,1.229525491,1.217287028
"Gwinnett, GA",33.959101,-84.022938,808167,33.7,1237,58732,1871.2,12.64,24,9,15,1.195813175,1.29515881,1.256972106
"Henry, GA",33.452881,-84.15444,195370,35.3,273,63892,633,208.22,18,3,15,1.25992105,1.284984524,1.280772919
"Lee, GA",31.818419,-84.146681,34410,36,34,57044,79.5,243.09,20,5,15,1.148698355,1.288884995,1.252310799
"Lowndes, GA",30.83368,-83.268967,106814,29.9,222,38143,220.2,313.72,20,5,15,1.24573094,1.145443764,1.169732056
"Johnson, IA",41.668737,-91.588812,131005,29.3,1910,48955,213.1,385.58,23,8,15,1.222844545,1.111259381,1.148866683
"Anne Arundel, MD",38.993374,-76.560511,521209,38.4,1497,79843,1295.9,1174.13,18,3,15,1.25992105,1.318818149,1.308814159
"Baltimore, MD",39.443167,-76.616569,789814,39.1,4397,64629,1345.5,1067.2,20,5,15,1.319507911,1.308974113,1.311599652
"Harford, MD",39.537429,-76.299789,242514,39.4,471,75364,560.1,79.04,23,8,15,1.090507733,1.183388472,1.150217578
"Montgomery, MD",39.137382,-77.203063,971600,38.5,8814,93774,1978.2,700.21,26,11,15,1.157557912,1.242174752,1.205645511
"Prince George's, MD",38.82588,-76.847272,834560,34.9,1722,69545,1788.8,851.39,22,7,15,1.389495494,1.265271207,1.303542511
"Copiah, MS",31.866915,-90.448758,29094,36.7,14,31632,37.9,198.22,18,3,15,1.25992105,1.105471374,1.129830964
"Forrest, MS",31.18858,-89.259447,81078,31.3,187,33909,160.7,430.89,20,5,15,1.24573094,1.138517916,1.164423508
"Pearl River, MS",30.773791,-89.586832,57860,38.9,42,38363,68.9,128.56,18,3,15,1.25992105,1.197860058,1.207987087
"Douglas, NE",41.297091,-96.154066,510199,33.5,2928,49944,1574.4,1621.44,43,28,15,1.042416005,1.087748679,1.058011032
"Clark, NV",36.214236,-115.013819,1902834,35.5,4005,53512,247.3,355.29,26,11,15,1.381560227,1.238787408,1.297296428
"Washoe, NV",40.703311,-119.710315,414820,37,1391,53036,66.9,299.74,26,11,15,1.221094623,1.189148769,1.20256104
"Cumberland, PA",40.164782,-77.26344,232483,40.3,711,58116,431.6,512.62,18,3,15,1.185631101,1.140658129,1.148033375
"Minnehaha, SD",43.667472,-96.795726,183048,34.5,681,48443,210,200.95,21,6,15,1.25992105,1.146269614,1.177652677
"Williamson, TN",35.894972,-86.896958,176838,38.5,1157,87474,314.4,36.13,26,11,15,1.300515948,1.128937844,1.198577908
"Montgomery, TX",30.302364,-95.503523,447718,36.1,883,65130,437.5,179.62,21,6,15,1.200936955,1.24573094,1.232764839
"Smith, TX",32.377093,-95.26963,204665,35.6,839,46127,227.6,238.52,18,3,15,1.100642416,1.148698355,1.14054574
"Arlington, VA",38.878337,-77.100703,217483,33.4,938,92703,7993.6,0.71,20,5,15,1.350960039,1.177206691,1.218428832
"Chesterfield, VA",37.378434,-77.585847,306670,37.6,1015,70055,747.1,3519.21,17,2,15,1.414213562,1.226956684,1.247631639
"Fairfax, VA",38.833743,-77.276117,1037605,37.3,4522,102325,2766.8,311.75,24,9,15,1.291549665,1.237350263,1.257403243
"James City, VA",37.324427,-76.778319,63735,44.9,422,72902,470.4,226.84,19,4,15,1.351200155,1.156891598,1.195330026
"Loudoun, VA",39.08113,-77.638857,301171,34.8,686,114200,605.8,41.68,21,6,15,1.164993051,1.209771316,1.196804733
"Prince William, VA",38.702332,-77.478887,379166,33.5,476,88823,1195,731.23,19,4,15,1.316074013,1.258153915,1.270131931
"Alexandria, VA",38.818343,-77.082026,150006,35.6,520,76293,9314.3,1846.39,19,4,15,1.189207115,1.197860058,1.196033169
"Virginia Beach, VA",36.779322,-76.02402,433575,34.9,1323,59174,1758.9,9.37,22,7,15,1.219013654,1.204269141,1.208941128
"Fremont, WY",43.055303,-108.605531,38719,38.5,104,42738,4.4,11335.71,18,3,15,2,1.078921882,1.195813175
"Sheridan, WY",44.781369,-106.881211,29163,41.9,84,48963,11.5,7258.85,20,5,15,1.148698355,1.113263577,1.122018454
